reference_num,organization,address,classification,start_date,end_date,status,remarks,category
4498,TABUNG AMANAH LAND & GENERAL BERHAD,"8TRIUM, LEVEL 21, MENARA 1JALAN CEMPAKA SD 12/5BANDAR SRI DAMANSARA 52200 KUALA LUMPUR WP KUALA LUMPUR",LAIN-LAIN TABUNG,2026-01-01,2035-12-31,approved,,Others
4499,"TABUNG KEBAJIKAN DAN PENDIDIKAN, YAYASAN GERIK",KOMPLEKS PEJABAT-PEJABAT KERAJAAN DAERAH HULU PERAK 33300 GERIK PERAK,TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1997-05-01,2021-12-31,rejected,,Welfare/Social Services
4500,"PERTUBUHAN RUMAH KEBAJIKAN KANAK-KANAK HOME OF PEACE, KUALA LUMPUR","NO. 100, JALAN NYAMAN 1TAMAN BUKIT INDAH 58200 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2003-12-15,2025-12-31,rejected,,Children/Youth
4500,"PERTUBUHAN RUMAH KEBAJIKAN KANAK-KANAK HOME OF PEACE, KUALA LUMPUR","NO. 100, JALAN NYAMAN 1,TAMAN BUKIT INDAH, JALAN KLANG LAMA, 58200 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Children/Youth
4505,"PERTUBUHAN KEBAJIKAN SIRI JAYANTI, KUALA LUMPUR (SIRI JAYANTI WELFARE ORGANISATION, KUALA LUMPUR)","LOT 85, JALAN TUJUHSENTUL PASAR 50100 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2008-08-15,2025-12-31,rejected,,Welfare/Social Services
4505,"PERTUBUHAN KEBAJIKAN SIRI JAYANTI, K. LUMPUR  (SIRI JAYANTI WELFARE ORGANISATION, K. LUMPUR)",LOT 85JALAN TUJUHSENTUL 50100 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Welfare/Social Services
4506,"TABUNG RESCUE 991, KELAB SUKAN DAN KEBAJIKAN PERTAHANAN AWAM PULAU PINANG","15, LEBOH RAYA PEEL 10350 PULAU PINANG",LAIN-LAIN TABUNG,1998-04-01,2021-12-31,rejected,,Sports/Recreation
4509,YAYASAN BASMI KEMISKINAN PAHANG,"13, LORONG SETONGKOL JAYA 44BUKIT SETONGKOL 25200 KUANTAN PAHANG",INSTITUSI/ORGANISASI,1996-11-01,2021-12-31,rejected,,Welfare/Social Services
4514,"TABUNG KEBAJIKAN PENDIDIKAN MASYARAKAT KG. GONG PASIR, DUNGUN, TERENGGANU","4623, LORONG BALAI RAYAKG. GONG PASIR 23000 DUNGUN TERENGGANU",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),1997-05-15,2021-12-31,rejected,,Welfare/Social Services
4518,KUMPULAN WANG BIASISWA PENGAJIAN TINGGI RAJA-RAJA DAN YANG DI-PERTUA-YANG DI-PERTUA NEGERI 1983,4852 JALAN BUKIT PETALING 50682 KUALA LUMPUR WP KUALA LUMPUR,LAIN-LAIN TABUNG,1997-09-01,2025-12-31,rejected,,Educational
4524,PERSATUAN PARKINSON MALAYSIA,"NO. 35, JALAN NYAMAN 10TAMAN GEMBIRA (HAPPY GARDEN) 58200 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2005-10-15,2025-12-31,rejected,,Healthcare/Medical
4529,PERSATUAN PERGERAKAN WANITA (ALL WOMEN'S ACTION SOCIETY) (AWAM),"NO. 85, JALAN 21/1, SEA PARK 46300 PETALING JAYA SELANGOR",INSTITUSI/ORGANISASI,2002-09-01,2023-12-31,rejected,,Children/Youth
4531,MALAYSIAN PAEDIATRIC FOUNDATION,DEPARTMENT OF PAEDIATRICSPAEDIATRIC INSTITUTEHOSPITAL KUALA LUMPURJALAN PAHANG 50586 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,1997-01-01,2025-12-31,rejected,,Healthcare/Medical
4537,YAYASAN SRI ZASNA,NO. 11 LORONG BATAI BARATDAMANSARA HEIGHT 50490 KUALA LUMPUR. WP KUALA LUMPUR,INSTITUSI/ORGANISASI,1998-09-01,2025-12-31,rejected,,Others
4539,YAYASAN QTECH MALAYSIA,229KRLOT 8450 BATU 6BUKIT PASIR 84300 MUAR JOHOR,INSTITUSI/ORGANISASI,1997-05-01,2025-11-30,rejected,,Others
4549,YAYASAN TUN ABDUL HAMID,"NO. 19, 2ND FLOOR JALAN 1/57A3RD MILE JALAN IPOH 51200 KUALA LUMPUR. WP KUALA LUMPUR",INSTITUSI/ORGANISASI,1997-01-01,2025-12-31,rejected,,Religious Organizations
4554,YAYASAN SALAM MALAYSIA,NO 8 JALAN UTARA 46200 PETALING JAYA SELANGOR,INSTITUSI/ORGANISASI,2003-12-01,2025-12-31,rejected,,Environmental/Conservation
4556,PERSATUAN JANTUNG KANAK-KANAK MALAYSIA,"309, SHARIDAL COURT, TAMAN SRI UKAY 68000 ULU KELANG WP KUALA LUMPUR",INSTITUSI/ORGANISASI,1997-08-15,1999-12-31,revoked,,Healthcare/Medical
4558,YAYASAN M.A.S,D/A TETUAN ARTHUR ANDERSENLEVEL-1BLOCK C(SOUTH)PUSAT BANDAR DAMANSARA 50490 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,1997-02-01,2020-12-31,rejected,,Others
4559,PERSATUAN PEMELIHARAAN KANAK-KANAK MALAYSIA,"48, JALAN HILIR 6TAMAN SRI ANGSANA 55100 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,1997-12-15,2021-12-31,revoked,,Children/Youth
4569,YAYASAN AL-QURAN DAN AS-SUNNAH KEDAH,"BANGUNAN PUSAT ULUMUDDINKAMPUNG PADANG WATT, LEPAI 05350 ALOR SETAR KEDAH",INSTITUSI/ORGANISASI,1997-09-01,2021-12-31,rejected,,Religious Organizations
4579,DATUK SEAH TEE SUI FOUNDATION,P.O. BOX 1094 90712 SANDAKAN SABAH,INSTITUSI/ORGANISASI,2000-07-15,2025-12-31,rejected,,Others
4587,YAYASAN HEPAR MALAYSIA,"NO. 26 BLOCK CJALAN PJU 1A/3, TAIPANDAMANSARA 2ARA DAMANSARA 47301 PETALING JAYA SELANGOR",INSTITUSI/ORGANISASI,1997-05-15,2022-02-28,rejected,,Healthcare/Medical
8189,YAYASAN KUMPULAN UTUSAN,6 LORONG DAMAI 7JALAN DAMAI 55000 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,2018-03-15,2023-03-14,rejected,,Corporate Foundations
8190,MALAYSIAN SOCIAL ENTREPRENEURS FOUNDATION (FORMELY KNOWN AS KINGSLEY SEEDS FOUNDATION),"LOT 1-01, 1ST FLOORMENARA HAI-OJALAN BUKIT BINTANG 55100 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2022-11-01,2027-10-31,approved,,Healthcare/Medical
8190,MALAYSIAN SOCIAL ENTREPRENEURS FOUNDATION (FORMELY KNOWN AS KINGSLEY SEEDS FOUNDATION),"LOT 1-01, 1ST FLOORMENARA HAI-OJALAN BUKIT BINTANG 55100 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2017-11-01,2022-10-31,rejected,,Healthcare/Medical
8195,YAYASAN WANITA CEMERLANG,THE HORIZON BANGSAR SOUTHNO.8 JALAN KERINCHI 59200 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,2017-07-15,2022-07-14,rejected,,Children/Youth
8197,TABUNG PEMBINAAN BISDS,"123, JALAN BERHALA, BRICKFIELDS 50470 Kuala Lumpur WP KUALA LUMPUR",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2017-02-15,2020-02-14,rejected,,Others
8200,YAYASAN KEK LOK SI,"KEK LOK SI TEMPLE, AYER ITAM 11500 PULAU PINANG",INSTITUSI/ORGANISASI,2018-07-01,2023-06-30,rejected,,Religious Organizations
8201,YAYASAN SRI GADING,NO.15B JALAN UNIVERSITI 4 BANDAR UNIVERSITI PARIT RAJA 86400 BATU PAHAT JOHOR,INSTITUSI/ORGANISASI,2018-01-15,2023-01-14,rejected,,Others
8203,"TABUNG PEMBINAAN SEKOLAH MENENGAH PERSENDIRIAN CHONG HWA, JALAN IPOH, KUALA LUMPUR",PENGERUSI LEMBAGA PENGELOLA SEKOLAH MENENGAH PERSENDIRIAN CHONG HWA JALAN ST THOMAS BATU 3 OFF JALAN IPOH 51100 Kuala Lumpur WP KUALA LUMPUR,TABUNG PEMBINAAN SEKOLAH (TPBS),2016-12-15,2019-12-14,rejected,,Educational
8208,TABUNG PEMBINAAN KUIL SHREE LAKSHMI NARAYAN,"S J GRANT THORNTONLEVEL 15, SHERATON IMPERIAL COURTJALAN SULTAN ISMAIL 50250 KUALA LUMPUR WP KUALA LUMPUR",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2025-06-01,2026-12-31,approved,,Religious Organizations
8208,TABUNG PEMBINAAN KUIL SHREE LAKSHMI NARAYAN,"D/A, SJ GRANT THORNTONLEVEL 11, SHERATON IMPERIAL COURTJALAN SULTAN ISMAIL 50250 KUALA LUMPUR WP KUALA LUMPUR",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2017-10-15,2020-10-14,rejected,,Religious Organizations
8208,TABUNG PEMBINAAN KUIL SHREE LAKSHMI NARAYAN,"D/A, SJ GRANT THORNTONLEVEL 11, SHERATON IMPERIAL COURTJALAN SULTAN ISMAIL 50250 KUALA LUMPUR WP KUALA LUMPUR",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2022-06-01,2025-05-31,rejected,,Religious Organizations
8211,TPRI MASJID AN-NUR BANDAR PASIR GUDANG,"LOT 1B, PODIUM 1MENARA ANSAR65 JALAN TRUS 80000 JOHOR BAHRU JOHOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2022-02-01,2027-01-31,approved,,Religious Organizations
8211,TPRI MASJID AN-NUR BANDAR PASIR GUDANG,"LOT 1B, PODIUM 1MENARA ANSAR65 JALAN TRUS 80000 JOHOR BAHRU JOHOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2017-02-01,2022-01-31,rejected,,Religious Organizations
8212,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID AN-NUR KOTARAYA,"LEVEL 10, MENARA KOMTARJOHOR BAHRU CITY CENTRE 80000 JOHOR BAHRU JOHOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2022-02-01,2027-01-31,approved,,Religious Organizations
8212,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID AN-NUR KOTARAYA,"LEVEL 10, MENARA KOMTARJOHOR BAHRU CITY CENTRE 80000 JOHOR BAHRU JOHOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2017-02-01,2022-01-31,rejected,,Religious Organizations
8213,TABUNG PENGURUSAN RUMAH IBADAT MASJID AN-NUR TAMAN CENDANA,"LOT 1B, PODIUM 1MENARA ANSAR65 JALAN TRUS 80000 JOHOR BAHRU JOHOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2017-02-01,2022-01-31,rejected,,Religious Organizations
8213,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID AN-NUR TAMAN CENDANA,"LOT 1B, PODIUM 1MENARA ANSAR65 JALAN TRUS 80000 JOHOR BAHRU JOHOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2022-02-01,2027-01-31,approved,,Religious Organizations
8214,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID AN-NUR LARKIN SENTRAL,"LOT 1B, PODIUM 1MENARA ANSAR65 JALAN TRUS 80000 JOHOR BAHRU JOHOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2017-02-01,2022-01-31,rejected,,Religious Organizations
8214,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID AN-NUR LARKIN SENTRAL,"LOT 1B, PODIUM 1MENARA ANSAR65 JALAN TRUS 80000 JOHOR BAHRU JOHOR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2022-02-01,2027-01-31,approved,,Religious Organizations
8217,YAYASAN SULTANAH FATIMAH,"JDEC SECOND FLOORCOUNTRY GARDEN PHOENIX CLUBLOT PTB 22056 DANGA BAY JALAN BERTINGKAT SKUDAI, 80200 , JOHOR 80200 JOHOR BAHRU JOHOR",INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Religious Organizations
8217,YAYASAN SULTANAH FATIMAH,JDEC SECOND FLOORCOUNTRY GARDEN PHOENIX CLUBLOT PTB 22056 DANGA BAYJALAN BERTINGKAT SKUDAI 80200 JOHOR BAHRU JOHOR,INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Religious Organizations
8218,TABUNG PEMBINAAN BANGUNAN MASJID TELUK MEMALI,"NO. 45, JALAN TUN MOHD FUAD 3TAMAN TUN DR. ISMAIL 60000 Kuala Lumpur WP KUALA LUMPUR",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2017-03-01,2018-02-28,rejected,,Religious Organizations
8220,MAJLIS PROFESOR NEGARA,UNIT KEWANGANO. 10 (LOT 79)LORONG CINTA ALAM BCOUNTRY HEIGHTS 43000 KAJANG SELANGOR,INSTITUSI/ORGANISASI,2017-12-01,2022-11-30,rejected,,Others
8224,RHB FOUNDATION,"LEVEL 8, TOWER ONERHB CENTRE, JALAN TUN RAZAK 50400 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2024-06-15,2027-12-31,approved,,Corporate Foundations
8224,RHB FOUNDATION,"HEAD OF FOUNDATIONLEVEL 10 , TOWER ONERHB CENTREJALAN TUN RAZAK 50400 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2018-06-15,2023-06-14,rejected,,Corporate Foundations
8663,YAYASAN SIKH MALAYSIA,A-5-2 SRI BUKIT DAMANSARAPERSIARAN PERSEKUTUAN 50480 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,2022-01-01,2026-12-31,approved,,Religious Organizations
8664,"TPRI SURAU AL-KHAIRIAH, TAMAN UNIVERSITI WALLAGONIA","SURAU AL-KHAIRIAH, TAMAN UNIVERSITI WALLAGONIAPT 5723, JALAN WALLAGONIA 2TAMAN UNIVERSITI WALLAGONIA 35400 TAPAH ROAD PERAK",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2021-09-01,2026-08-31,approved,,Religious Organizations
8665,"TABUNG PEMBINAAN GURDWARA SAHIB SIKH TEMPLE, SENTUL","NO 15, OFF JALAN HAJI SALLEH 51100 SENTUL WP KUALA LUMPUR",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2021-10-15,2024-10-14,rejected,,Religious Organizations
8668,YAYASAN SELGATE,"NO. 15(GF), PLAZA AZALEAJALAN PEMBANGUNAN 14/6SEKSYEN 14 40000 SHAH ALAM SELANGOR",INSTITUSI/ORGANISASI,2021-10-01,2024-06-30,rejected,,Corporate Foundations
8668,YAYASAN SELGATE,"NO. 15 (GF) & LEVEL 1, PLAZA AZALEAJALAN PEMBANGUNAN 14/6, SECTION 14 40000 SHAH ALAM SELANGOR",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Corporate Foundations
8671,AMITABHA FOUNDATION,"NO.59, JALAN GLASIARTAMAN TASEK 80200 JOHOR BAHRU JOHOR",INSTITUSI/ORGANISASI,2023-12-01,2028-11-30,approved,,Others
8672,YAYASAN KEBAJIKAN SABAH,"TINGKAT 16, BLOK APUSAT PENTADBIRAN NEGERI SABAHJALAN SULAMAN, TELUK LIKAS 88400 KOTA KINABALU SABAH",INSTITUSI/ORGANISASI,2022-01-01,2026-12-31,approved,,Welfare/Social Services
8675,YAYASAN PRIHATIN NASIONAL,"NO. 129-1, JALAN SETIA GEMILANG U13/BGSEKSYEN U13, SETIA ALAM 40170 SHAH ALAM SELANGOR",INSTITUSI/ORGANISASI,2022-01-01,2026-12-31,approved,,Welfare/Social Services
8676,YAYASAN DIDIK NEGARA,"ARAS 1, BLOK E 14KOMPLEKS KERAJAAN PARCEL EPUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN 62604 PUTRAJAYA WP PUTRAJAYA",INSTITUSI/ORGANISASI,2021-11-01,2026-10-30,approved,,Others
8677,PERTUBUHAN CAKNA ORANG KURANG UPAYA (OKU) KELANTAN,"LOT 1528, JALAN DATO’ LUNDANG 15150 KOTA BHARU KELANTAN",INSTITUSI/ORGANISASI,2021-11-01,2026-10-30,approved,,Disability Services
8680,PERSATUAN PELINDUNG HARIMAU MALAYSIA (RIMAU),19 JALAN TUNKUBUKIT TUNKU 50480 KUALA LUMPUR WP KUALA LUMPUR,INSTITUSI/ORGANISASI,2021-08-01,2026-07-31,approved,,Environmental/Conservation
8680,TABUNG PEMBINAAN KUIL THIRUMURUGAN JALAN SAWANGAN CINA W.P. LABUAN,"PERTUBUHAN PENGURUSAN KUIL THIRUMURUGAN W.P. LABUAN,BLOK AIRIS, A-14-09TAMAN GANGGARAK PERMAI 87000 WP LABUAN",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2021-12-01,2024-11-30,rejected,,Religious Organizations
8681,TABUNG KEBAJIKAN PESAKIT KANSER MOUNT MIRIAM (TKPKMM),"MOUNT MIRIAM CANCER HOSPITAL23, JALAN BULAN, FETTES PARK 11200 TANJUNG BUNGAH PULAU PINANG",TABUNG KEBAJIKAN DAN PENDIDIKAN (TKDP),2021-12-01,2026-11-30,approved,,Healthcare/Medical
8682,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) SURAU JUMAAT AN-NAIM,"JALAN 11/27A, SEKSYEN 5 53300 WANGSA MAJU WP KUALA LUMPUR",TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2022-01-01,2026-12-31,approved,,Religious Organizations
8683,CVSKL FOUNDATION,"CORPORATE OFFICEUNIT 3A-19-1, LEVEL 19, BLOK 3APLAZA SENTRAL, JALAN STESEN SENTRAL 5KUALA LUMPUR SENTRAL 50470 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2022-08-01,2027-07-31,approved,,Others
8685,TABUNG PENGURUSAN RUMAH IBADAT (TPRI) MASJID PUNCAK ALAM,PERSIARAN PUNCAK ALAM 1BANDAR PUNCAK ALAM 42300 PUNCAK ALAM SELANGOR,TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2022-01-01,2026-12-31,approved,,Religious Organizations
8687,TABUNG PEMBINAAN RUMAH IBADAT (TPBRI) KUIL ARULMIGU VICKNESWARAR ALAYAM,NO. 27-2-1LORONG BATU NILAM 1ABANDAR BUKIT TINGGI 41200 KLANG SELANGOR,TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2022-03-01,2025-02-28,rejected,,Religious Organizations
8689,TABUNG PEMBINAAN RUMAH IBADAT (TPBRI) MADRASAH AL-HIDAYAH TAHFIZ SAINS DAN TEKNOLOGI SUNGAI DUA,"NO. 42 & 44PERSIARAN SEKSYEN 4/9BANDAR PUTRABERTAM, KEPALA BATAS 13200 SEBERANG PERAI PULAU PINANG",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2021-12-01,2024-11-30,rejected,,Religious Organizations
8691,PERTUBUHAN KEBAJIKAN BANTU UMMAH KUALA LUMPUR DAN SELANGOR,"NO. 59, JALAN WANGSA MURNI 2WANGSA MELAWATI 53300 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2022-04-01,2027-03-31,approved,,Welfare/Social Services
8692,PERSATUAN PENGURUSAN BENCANA KEBANGSAAN (NADIM MALAYSIA),"NO. 9, JALAN BATU MUDA 14, TAMAN BARU MUDA 68100 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2022-02-01,2027-12-31,approved,,Emergency/Disaster Relief
8693,YAYASAN TENGKU ABDULLAH IBNI SULTAN ABU BAKAR,"LOT 49 & 51, JALAN KAMPUNG PANDAN 55100 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2022-01-01,2026-12-31,approved,,Religious Organizations
8694,PERTUBUHAN PEMULIHAN DALAM KOMUNITI KUALA SELANGOR (PPDK KUSEL),JALAN PENDIDIKAN 45000 KUALA SELANGOR SELANGOR,INSTITUSI/ORGANISASI,2022-04-01,2027-03-31,approved,,Disability Services
8695,YAYASAN ESKAYVIE,"G43, BLOK 6LAMAN SERI BUSINESS PARKPERSIARAN SUKAN,SEKSYEN 13 40100 SHAH ALAM SELANGOR",INSTITUSI/ORGANISASI,2022-10-01,2027-09-30,approved,,Others
8697,PERTUBUHAN KEBAJIKAN RUMAH KASIH JING YUAN,"NO. 22, JALAN BUNGA TANJUNGTAMAN P. RAMLEE 53000 SETAPAPAK WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2022-07-01,2027-06-30,approved,,Welfare/Social Services
8698,YAYASAN TAHFIZ AN-NUR,"165-C, JALAN TOK JANGGUT 16800 PASIR PUTEH KELANTAN",INSTITUSI/ORGANISASI,2022-10-01,2027-09-30,approved,,Religious Organizations
8571,PERSATUAN CEREBRAL PALSY KUCHING DAN SAMARAHAN,"LOT 1449, NO 198FJALAN FIELD FORCEOFF JALAN BATU KAWA 93250 KUCHING SARAWAK",INSTITUSI/ORGANISASI,2020-09-01,2025-08-31,rejected,,Disability Services
8571,PERSATUAN CEREBRAL PALSY KUCHING DAN SAMARAHAN,"LOT 1446, NO. 198FJALAN FIELD FORCEOFF JALAN BATU KAWA 93250 KUCHING SARAWAK",INSTITUSI/ORGANISASI,2025-09-01,2030-08-31,approved,,Disability Services
8572,PERSATUAN DERMAWAN JISHAN BUKIT MERTAJAM PULAU PINANG,"NO 18, LORONG TEMBIKAI 6KAWASAN PERNIAGAAN SUNGAI RAMBAI 14000 BUKIT MERTAJAM PULAU PINANG",INSTITUSI/ORGANISASI,2025-07-01,2030-06-30,approved,,Welfare/Social Services
8572,PERSATUAN DERMAWAN JISHAN BUKIT MERTAJAM PULAU PINANG,"NO 18, LORONG TEMBIKAI 6KAWASAN PERNIAGAAN SUNGAI RAMBAI 14000 BUKIT MERTAJAM PULAU PINANG",INSTITUSI/ORGANISASI,2020-07-01,2025-06-30,rejected,,Welfare/Social Services
8573,TABUNG PEMBINAAN GURDWARA SAHIB SIKH TEMPLE PENANG,"JAWATANKUASA TABUNG PEMBINAANGUDWARA SAHIB SIKH TEMPLE PENANG87, JALAN GUDWARA 10300 PULAU PINANG",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2023-06-01,2026-05-31,approved,,Religious Organizations
8573,TABUNG PEMBINAAN GURDWARA SAHIB SIKH TEMPLE,"PERSATUAN WADDA GURDWARA SAHIB PULAU PINANG87, JALAN GURDWARA 10300 PULAU PINANG",TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2020-06-01,2023-05-30,rejected,,Religious Organizations
8574,PERSATUAN KESEDARAN DAN SOKONGAN PENYAKIT MENTAL (MALAYSIA) (MENTAL ILLNESS AWARENESS AND SUPPORT ASSOCIATION (MALAYSIA) (MIASA)),6 LORONG 16/9ASEKSYEN 16 46350 PETALING JAYA SELANGOR,INSTITUSI/ORGANISASI,2025-04-01,2030-03-31,approved,,Others
8576,YAYASAN KASEH KANSER & KRONIK,LOT 289JALAN SRI CEMERLANGSEKSYEN 27 15400 KOTA BHARU KELANTAN,INSTITUSI/ORGANISASI,2020-09-01,2025-08-31,rejected,,Healthcare/Medical
8577,PERTUBUHAN PEMULIHAN DALAM KOMUNITI TAMAN SRI GOMBAK,"NO. 60, JALAN SG 9/6TAMAN SRI GOMBAK 68100 BATU CAVES SELANGOR",INSTITUSI/ORGANISASI,2020-01-01,2024-12-31,rejected,,Disability Services
8579,PERSATUAN PENYELAMAT HAIWAN TERBIAR (FURRYKIDS SAFEHAVEN),"LOT 2843, JALAN KUALA SAWAHKAMPUNG NYATOH 71200 SEREMBAN NEGERI SEMBILAN",INSTITUSI/ORGANISASI,2025-06-01,2028-05-31,approved,,Animals
8579,PERSATUAN PENYELAMAT HAIWAN TERBIAR (FURRYKIDS SAFEHAVEN),"LOT 2843, JALAN KUALA SAWAHKAMPUNG NYATOH, RANTAU 71200 SEREMBAN NEGERI SEMBILAN",INSTITUSI/ORGANISASI,2020-06-01,2025-05-31,rejected,,Animals
8580,TPRI AYYAPPAN SWAMY TAMAN PELANGI INDAH,LOT 71871 JALAN REBAB 7TAMAN DESA TEBRAU 81100 JOHOR BAHRU JOHOR,TABUNG PENGURUSAN RUMAH IBADAT (TPRI),2020-08-01,2025-07-31,rejected,,Religious Organizations
8581,TABUNG PEMBINAAN SURAU SMK SUNGAI RANGGAM,SMK SUNGAI RANGGAMKOTA SETIA 36810 KAMPUNG GAJAH PERAK,TABUNG PEMBINAAN SEKOLAH (TPBS),2020-09-01,2023-08-31,rejected,,Religious Organizations
8582,YAYASAN MYNADI,"SUITE 11-16, LEVEL 11WISMA UOA IINO 21, JALAN PINANG 50450 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Others
8582,YAYASAN MYNADI,"SUITE 11-16, LEVEL 11WISMA UOA IINO 21, JALAN PINANG 50450 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Others
8584,TABUNG PEMBINAAN SJKC CHUNG HUA BAKO KUCHING SARAWAK,"PERSATUAN SEKOLAH RENDAH BANTUAN CINABAHAGIAN KUCHING SARAWAKSAMARAHAN DAN SERIANLOT 158, 1ST FLOOR JALAN CHAN CHIN ANN 93100 KUCHING SARAWAK",TABUNG PEMBINAAN SEKOLAH (TPBS),2020-07-01,2023-06-30,rejected,,Educational
8587,PERTUBUHAN PEMULIHAN DALAM KOMUNITI SERI MURNI,"JALAN NASIONAL, (F) TUN GHAFAR BUKIT SENGGEH NYALAS 77100 ASAHAN MELAKA",INSTITUSI/ORGANISASI,2020-10-01,2025-09-30,rejected,,Disability Services
8589,ERTH AL-MUSTAFA FOUNDATION (dahulu dikenali sebagai YAYASAN MODA JAMEELA),"LOT 9922, JALAN HARMONIS 1/1TAMAN HARMONIS 53100 GOMBAK WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2020-10-01,2025-09-30,rejected,,Religious Organizations
8589,ERTH AL-MUSTAFA FOUNDATION (DAHULU DIKENALI SEBAGAI YAYASAN MODA JAMEELA),"I-83-G & I-83-1, BISTARI DI KOTAPJU 5, 83, JALAN TEKNOLOGI 3/9KOTA DAMANSARA 47810 PETALING JAYA SELANGOR",INSTITUSI/ORGANISASI,2026-01-01,2035-12-31,approved,,Religious Organizations
8590,"TABUNG PEMBINAAN MASJID KARIAH TAMAN SERI BAYU SUNGAI PETANI, KEDAH",D/A SURAU AL-MUHSININTAMAN SERI BAYUSUNGAI LALANG 08000 SUNGAI PETANI KEDAH,TABUNG PEMBINAAN RUMAH IBADAT (TPBRI),2021-01-01,2023-12-31,rejected,,Religious Organizations
8591,PERTUBUHAN PEMULIHAN DALAM KOMUNITI NUR HIDAYAH,"JC 236, JALAN ORKIDSEKSYEN 1, BANDAR JASIN BESTARI 77200 BEMBAN MELAKA",INSTITUSI/ORGANISASI,2020-10-01,2025-09-30,rejected,,Disability Services
8593,YAYASAN AR-RI'AYAH,"NO 12, JALAN AU 1C/3FDESA PENDIDIKTAMAN KERAMAT PERMAI 54200 KUALA LUMPUR WP KUALA LUMPUR",INSTITUSI/ORGANISASI,2021-01-01,2025-12-31,rejected,,Religious Organizations
